"Pokemon
Name",Generation,HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Height (m),Weight (kg)
Bulbasaur,1,45,49,49,65,65,45,318,0.7,6.9
Ivysaur,1,60,62,63,80,80,60,405,1,13
Venusaur,1,80,82,83,100,100,80,525,2,100
Venusaur (Mega),6,80,100,123,122,120,80,625,2.4,155.5
Charmander,1,39,52,43,60,50,65,309,0.6,8.5
Charmeleon,1,58,64,58,80,65,80,405,1.1,19
Charizard,1,78,84,78,109,85,100,534,1.7,90.5
Charizard (Mega X),6,78,130,111,130,85,100,634,1.7,110.5
Charizard (Mega Y),6,78,104,78,159,115,100,634,1.7,100.5
Squirtle,1,44,48,65,60,54,43,314,0.5,9
Wartortle,1,59,63,80,65,80,58,405,1,22.5
Blastoise,1,79,83,100,85,105,78,530,1.6,85.5
Blastoise (Mega),6,79,103,120,135,115,78,630,1.6,101.1
Caterpie,1,45,30,35,20,20,45,195,0.3,2.9
Metapod,1,50,20,55,25,25,30,205,0.7,9.9
Butterfree,1,60,45,50,90,80,70,395,1.1,32
Weedle,1,40,35,30,20,20,50,195,0.3,3.2
Kakuna,1,45,25,50,25,25,35,205,0.6,10
Beedrill,1,65,90,40,40,80,75,390,1,29.5
Beedrill (Mega),6,65,150,40,15,80,145,495,1.4,40.5
Pidgey,1,40,45,40,35,35,56,251,0.3,1.8
Pidgeotto,1,63,60,55,50,50,71,349,1.1,30
Pidgeot,1,83,80,75,70,70,91,469,1.5,39.5
Pidgeot (Mega),6,83,80,80,135,80,121,579,2.2,50.5
Rattata,1,30,56,35,25,35,72,253,0.3,3.5
Rattata (Alolan),7,30,56,35,25,35,72,253,0.3,3.8
Raticate,1,55,81,60,50,70,97,413,0.7,18.5
Raticate (Alolan),7,75,71,70,40,80,77,413,0.7,25.5
Spearow,1,40,60,30,31,31,70,262,0.3,2
Fearow,1,65,90,65,61,61,100,442,1.2,38
Ekans,1,30,60,44,40,54,55,283,2,6.9
Arbok,1,60,95,69,65,79,80,448,3.5,65
Pikachu,1,35,55,40,50,50,90,320,0.4,6
Raichu,1,60,90,55,90,80,110,485,0.8,30
Raichu (Alolan),7,60,85,50,95,85,110,485,0.7,21
